INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:3.5474822521209717	disk to mem:2.9105663299560547	normalize:0.28325629234313965	numpy to tensor:0.2175600528717041
INFO:root:load data:4.4776365756988525	disk to mem:3.864598274230957	normalize:0.29752230644226074	numpy to tensor:0.18561387062072754
INFO:root:load data:5.929137468338013	disk to mem:5.310880661010742	normalize:0.3009302616119385	numpy to tensor:0.20823264122009277
INFO:root:load data:2.511685371398926	disk to mem:2.0669455528259277	normalize:0.17435646057128906	numpy to tensor:0.18669700622558594
INFO:root:load data:4.805911540985107	disk to mem:4.166985273361206	normalize:0.2634415626525879	numpy to tensor:0.2342205047607422
INFO:root:load data:3.752974033355713	disk to mem:3.0450785160064697	normalize:0.2932438850402832	numpy to tensor:0.2257521152496338
INFO:root:load data:2.8467929363250732	disk to mem:2.3253114223480225	normalize:0.22252941131591797	numpy to tensor:0.19439268112182617
INFO:root:load data:3.2092833518981934	disk to mem:2.6551151275634766	normalize:0.2581748962402344	numpy to tensor:0.19380664825439453
INFO:root:load data:4.430863618850708	disk to mem:3.796149492263794	normalize:0.2491929531097412	numpy to tensor:0.24814224243164062
INFO:root:load data:4.338862180709839	disk to mem:3.741903305053711	normalize:0.2838706970214844	numpy to tensor:0.21465039253234863
INFO:root:load data:4.2823193073272705	disk to mem:3.601682662963867	normalize:0.31474852561950684	numpy to tensor:0.24276447296142578
INFO:root:load data:3.6040236949920654	disk to mem:2.93867564201355	normalize:0.28458356857299805	numpy to tensor:0.21973109245300293
INFO:root:load data:3.374762535095215	disk to mem:2.7839879989624023	normalize:0.26802754402160645	numpy to tensor:0.21183323860168457
INFO:root:load data:3.9126877784729004	disk to mem:3.2992255687713623	normalize:0.2873246669769287	numpy to tensor:0.21829557418823242
INFO:root:load data:3.3926403522491455	disk to mem:2.8216428756713867	normalize:0.2664988040924072	numpy to tensor:0.21130895614624023
INFO:root:load data:2.8792004585266113	disk to mem:2.2482504844665527	normalize:0.30884742736816406	numpy to tensor:0.19733262062072754
INFO:root:load data:4.246832370758057	disk to mem:3.5874743461608887	normalize:0.3167915344238281	numpy to tensor:0.22555875778198242
INFO:root:load data:3.598264455795288	disk to mem:3.075063705444336	normalize:0.23395609855651855	numpy to tensor:0.20116925239562988
INFO:root:load data:3.7773125171661377	disk to mem:3.148362398147583	normalize:0.28612422943115234	numpy to tensor:0.23085498809814453
INFO:root:load data:3.808267116546631	disk to mem:3.176893949508667	normalize:0.2917664051055908	numpy to tensor:0.20549654960632324
INFO:root:load data:3.752720594406128	disk to mem:3.1487233638763428	normalize:0.26769208908081055	numpy to tensor:0.22119450569152832
INFO:root:load data:4.624765634536743	disk to mem:3.990072727203369	normalize:0.26531267166137695	numpy to tensor:0.2420356273651123
INFO:root:load data:3.763338327407837	disk to mem:3.130077362060547	normalize:0.2880730628967285	numpy to tensor:0.23070859909057617
INFO:root:load data:3.0446677207946777	disk to mem:2.603830099105835	normalize:0.17268013954162598	numpy to tensor:0.1902012825012207
INFO:root:load data:3.902141809463501	disk to mem:3.3609869480133057	normalize:0.21373748779296875	numpy to tensor:0.21464228630065918
INFO:root:load data:4.7434470653533936	disk to mem:4.132870197296143	normalize:0.2816593647003174	numpy to tensor:0.21949267387390137
INFO:root:load data:4.606936693191528	disk to mem:3.9811885356903076	normalize:0.2753746509552002	numpy to tensor:0.22445249557495117
INFO:root:load data:4.21457314491272	disk to mem:3.525933265686035	normalize:0.2755444049835205	numpy to tensor:0.29137349128723145
INFO:root:load data:3.565626382827759	disk to mem:3.001418352127075	normalize:0.25005078315734863	numpy to tensor:0.20898175239562988
INFO:root:load data:4.4515392780303955	disk to mem:3.9025750160217285	normalize:0.22695636749267578	numpy to tensor:0.21034479141235352
INFO:root:load data:3.913801908493042	disk to mem:3.377547025680542	normalize:0.2516460418701172	numpy to tensor:0.19913554191589355
INFO:root:load data:4.039184808731079	disk to mem:3.495929002761841	normalize:0.23052024841308594	numpy to tensor:0.19937872886657715
INFO:root:load data:3.5696330070495605	disk to mem:3.042130470275879	normalize:0.21123743057250977	numpy to tensor:0.21873879432678223
INFO:root:load data:3.263767719268799	disk to mem:2.7213752269744873	normalize:0.2452564239501953	numpy to tensor:0.19156599044799805
INFO:root:load data:7.034225702285767	disk to mem:6.363203287124634	normalize:0.2864823341369629	numpy to tensor:0.22947168350219727
INFO:root:load data:3.5737526416778564	disk to mem:3.0264010429382324	normalize:0.24949216842651367	numpy to tensor:0.18501591682434082
INFO:root:load data:3.904412269592285	disk to mem:3.3614978790283203	normalize:0.20072722434997559	numpy to tensor:0.2225322723388672
INFO:root:load data:2.341536521911621	disk to mem:1.8121874332427979	normalize:0.19544768333435059	numpy to tensor:0.19810986518859863
INFO:root:load data:4.0861804485321045	disk to mem:3.4934535026550293	normalize:0.2726430892944336	numpy to tensor:0.21633124351501465
INFO:root:load data:3.8416717052459717	disk to mem:3.125183343887329	normalize:0.2905101776123047	numpy to tensor:0.21178221702575684
INFO:root:load data:3.7577831745147705	disk to mem:3.180497646331787	normalize:0.22351908683776855	numpy to tensor:0.22140836715698242
INFO:root:load data:5.487369060516357	disk to mem:4.917530536651611	normalize:0.24906086921691895	numpy to tensor:0.21254372596740723
INFO:root:load data:3.7037296295166016	disk to mem:3.132882595062256	normalize:0.25139474868774414	numpy to tensor:0.2160811424255371
INFO:root:load data:3.8739001750946045	disk to mem:3.2839126586914062	normalize:0.2610020637512207	numpy to tensor:0.2128584384918213
INFO:root:load data:4.585179328918457	disk to mem:3.909437656402588	normalize:0.2871270179748535	numpy to tensor:0.22614145278930664
INFO:root:load data:3.294912815093994	disk to mem:2.7286806106567383	normalize:0.2627878189086914	numpy to tensor:0.19753599166870117
INFO:root:load data:5.681879758834839	disk to mem:5.079768896102905	normalize:0.26138901710510254	numpy to tensor:0.21151423454284668
INFO:root:load data:4.4223198890686035	disk to mem:3.8201026916503906	normalize:0.26630640029907227	numpy to tensor:0.23916006088256836
INFO:root:load data:2.2174887657165527	disk to mem:1.6261310577392578	normalize:0.26583027839660645	numpy to tensor:0.21264076232910156
INFO:root:load data:5.957063436508179	disk to mem:5.35093092918396	normalize:0.2914254665374756	numpy to tensor:0.20372748374938965
INFO:root:load data:4.27332067489624	disk to mem:3.7276008129119873	normalize:0.23306822776794434	numpy to tensor:0.21099066734313965
INFO:root:load data:2.9965109825134277	disk to mem:2.3940320014953613	normalize:0.28162574768066406	numpy to tensor:0.21642446517944336
INFO:root:load data:3.184180498123169	disk to mem:2.7314674854278564	normalize:0.20666050910949707	numpy to tensor:0.17188048362731934
INFO:root:load data:4.205493688583374	disk to mem:3.613093376159668	normalize:0.2718045711517334	numpy to tensor:0.22785329818725586
